image_name,style,color,pattern,material,estimated_pricing,gender,events,type_of_clothing,name,description
dogdabredhoodie.jpg,athleisure,red,graphic,cotton,40,unisex,casual,hoodie,Dabbing Pug Hoodie,"A vibrant red cotton hoodie featuring a playful graphic of a pug doing the dab pose, ideal for casual and comfortable everyday wear."
denimjacket.png,casual,blue,solid,denim with sherpa lining,$60-$90,unisex,"casual, outdoor, everyday wear",denim jacket,Sherpa Lined Denim Jacket,"A classic blue denim jacket featuring a warm, white sherpa lining and collar for extra comfort and insulation, perfect for casual outings and cooler weather."
png-men-wear-pastel-fashionable-portrait-jacket-adult_53876-727411.jpg,streetwear,pink,solid,cotton,$120,male,casual,jacket and pants set,Pastel Pink Relaxed Fit Jacket and Pants Set,"A trendy pastel pink cotton jacket paired with matching pleated pants, styled casually over a yellow crewneck t-shirt, perfect for a relaxed streetwear look."
png-transparent-dungarees-mockup-with-brown-hoodie-street-style-shoot_53876-1044898.jpg,streetwear,white,solid,cotton,$70,male,casual,overalls,Casual White Cotton Overalls,"A pair of white cotton overalls with adjustable navy straps, paired with a brown hoodie and white sneakers for a relaxed streetwear look."
whitetshirt_wornbyperson.jpg,casual,white,solid,cotton,$15-$30,male,casual,T-shirt,Classic White Crewneck Tee,"A simple, comfortable white crewneck T-shirt made from soft cotton fabric, perfect for everyday casual wear."
10493.jpg,casual,white,graphic print,cotton,$20-$30,female,casual,T-shirt,Heart Tree Graphic Tee,A white cotton casual tee featuring a black artistic tree graphic with red heart accents and the text 'It my Hearts.' Perfect for everyday casual wear.
10461.jpg,casual,white,graphic,cotton,30,male,casual,collared shirt,Classic White Polo,"A comfortable white cotton polo shirt featuring a small graphic print on the chest and sleeve, ideal for casual everyday wear."
brookcreamhoodie.jpg,streetwear,white,text print,cotton,$30-$50,unisex,casual,hoodie,Brooklyn Classic Hoodie,"A cozy off-white cotton hoodie with a kangaroo pocket and a bold brown text print reading 'BROOKLYN EST. 1631 NEW YORK' across the front, perfect for casual streetwear style."
american-man-png-sticker-mens-casual-fashion-transparent-background_53876-978709.jpg,casual,green,solid,cotton,$70,male,casual,button-up jacket,Forest Green Casual Jacket,"A solid green button-up jacket made of cotton, featuring front patch pockets and a relaxed fit. Ideal for casual outings and everyday wear."
10186.jpg,business casual,blue,striped,cotton,$30-$50,male,"business, casual",collared shirt,Blue Classic Striped Shirt,"A smart blue collared shirt with vertical black and white stripes made from breathable cotton fabric, ideal for business casual settings."
10370.jpg,casual,white,solid,cotton,$15-$30,female,casual,T-shirt,Classic White Tee,"A clean, fitted white cotton T-shirt with short sleeves and a round neckline, perfect for casual everyday wear."
whitetshirt_midweightmens.png,casual,white,solid,cotton,$50,unisex,casual,shirt,Classic White Crewneck Tee,"A simple and versatile white cotton crewneck t-shirt, perfect for everyday casual wear."
10190.jpg,business casual,white,solid with embroidered logo,cotton,$40-$60,male,"business, casual",collared shirt,Classic Embroidered Oxford Shirt,"A crisp white cotton collared shirt featuring an embroidered crest on the chest, perfect for business casual settings or smart casual occasions."
navybluetshirt.jpg,streetwear,blue,solid with text,cotton,30-50 USD,unisex,casual,T-shirt,Slow Sundays Tee,"A relaxed fit navy blue cotton T-shirt featuring a small white text print 'Slow Sundays Social Club' on the front, perfect for casual streetwear looks."
