image_name,style,color,pattern,material,estimated_pricing,gender,events,type_of_clothing,name,description
dogdabredhoodie.jpg,athleisure,#E31C23,graphic,cotton blend,$40,unisex,casual,hoodie,Dab Pug Hoodie,"A vibrant red cotton blend hoodie featuring a playful graphic of a dabbing pug, perfect for casual wear and street style."
denimjacket.png,casual,#8CB5D9,solid,denim with faux shearling lining,$60-$100,unisex,"casual, outdoor, weekend wear",jacket,Cozy Sherpa Denim Jacket,"A classic light blue denim jacket with soft white faux shearling lining for warmth and comfort, featuring button closures and chest pockets for a timeless casual look."
whitetshirt_wornbyperson.jpg,casual,#FFFFFF,solid,cotton,$20,male,casual,t-shirt,Essential White Tee,"A classic white cotton t-shirt with a comfortable fit, perfect for everyday casual wear."
10493.jpg,casual,#ffffff,graphic print,cotton,$20-$30,female,casual,T-shirt,Heart Tree Graphic Tee,A casual white cotton T-shirt featuring a black tree graphic with small red hanging hearts and the phrase 'It my Hearts.' perfect for everyday wear.
10461.jpg,casual,#f5f5f5,graphic,cotton,30,male,casual,polo shirt,Fresh Earth Polo,"A white casual cotton polo shirt featuring blue graphic text and logo on the left chest and sleeve, perfect for everyday wear."
brookcreamhoodie.jpg,athleisure,#f5f1df,graphic text,cotton blend,35,unisex,casual,hoodie,Brooklyn Classic Hoodie,"A comfortable cream-colored hoodie featuring bold 'Brooklyn New York' text in dark brown, made from a soft cotton blend perfect for casual wear and everyday comfort."
10186.jpg,business casual,#1a2e5c,striped,cotton blend,45,male,"business, casual",collared shirt,Classic Blue Stripe Shirt,"A business casual collared shirt featuring vertical blue, black, and white stripes, made from a comfortable cotton blend perfect for office or casual wear."
10370.jpg,casual,#FFFFFF,solid,cotton,$20,female,casual,T-shirt,Classic White Tee,"A simple, form-fitting white cotton T-shirt with a crew neckline, perfect for everyday casual wear."
whitetshirt_midweightmens.png,casual,#FFFFFF,solid,cotton,$40,unisex,casual,T-shirt,Classic White Crewneck Tee,"A simple and comfortable white crewneck t-shirt made from soft cotton fabric, perfect for everyday casual wear."
10190.jpg,business casual,#FFFFFF,solid with embroidered crest,cotton,$45,male,"business, casual",collared shirt,Crested Classic White Shirt,"A crisp white button-down shirt featuring a subtle embroidered crest, perfect for business casual settings and smart casual looks."
navybluetshirt.jpg,casual,#1c2238,solid with text,cotton,25,unisex,casual,T-shirt,Slow Sundays Tee,"A navy blue casual cotton T-shirt featuring the text 'Slow Sundays Social Club' in small white font on the chest, perfect for relaxed, everyday wear."
10364.jpg,casual,#a82a3a,solid,cotton blend,$40,male,casual,crew neck sweatshirt,Benetton Classic Sweatshirt,"A comfortable, solid wine red cotton blend crew neck sweatshirt featuring subtle branding 'United Colors of Benetton' on the chest, perfect for casual everyday wear."
minkfurcoat.jpg,formal,#7f7f7f,solid,fur,$800,male,"formal, evening outings, winter events",coat,Elegant Gray Fur Coat,"A luxurious long gray fur coat with a smooth satin lining and button closure, designed to provide warmth and style for formal occasions during cold weather."
orangestripeshirt.jpg,casual,#f39c12,vertical stripes,cotton blend,$25,male,"casual outings, beachwear",short sleeve button-up shirt,Sunburst Stripe Shirt,"A vibrant short sleeve button-up shirt with bold vertical black, white, and orange stripes, designed for casual and relaxed settings. Made from a soft cotton blend fabric for comfort and breathability."
whitetshirt_womensoffwhite.png,casual,#FFFFFF,solid,cotton,$15,unisex,casual,T-shirt,Classic White Crewneck Tee,"A plain white crewneck T-shirt made from soft, breathable cotton. Perfect for everyday casual wear or layering."
flanneljacket.png,casual,#2b4782,plaid,cotton blend,$70,male,casual,hooded flannel shirt jacket,Blue Plaid Hooded Flannel Jacket,"A warm and stylish blue plaid flannel jacket featuring a quilted inner lining and a comfortable black hood, perfect for casual outings in cooler weather."
10807.jpg,casual,#7f8c8d,pinstripe,cotton,$30,male,casual,short sleeve shirt,Urban Pinstripe Shirt,"A comfortable and lightweight short sleeve pinstripe shirt in grey with a single chest pocket, perfect for casual everyday wear."
whitecotton.jpg,casual,#FFFFFF,textured cable knit,cotton blend,$40,male,"casual, beach outing, summer events",short sleeve button-up shirt,Summer Breeze Textured Shirt,"A lightweight white short sleeve button-up shirt featuring a textured cable knit pattern, perfect for casual summer outings with breathable comfort and stylish flair."
bluehoodies.jpg,athleisure,#1A2C53,solid,cotton blend,$45,unisex,casual,hoodie,Navy Comfort Hoodie,"A cozy navy blue hoodie made from a soft cotton blend, featuring a front kangaroo pocket and an adjustable drawstring hood for comfortable everyday wear."
whitetshirt_womensstretchjerseybabytee.png,casual,#FFFFFF,solid,cotton,30,female,casual,t-shirt,Essential White Tee,"A classic white cotton t-shirt with a round neckline and short sleeves, perfect for casual everyday wear."
graphikdress.jpg,casual,#F8F7F3,floral,cotton blend,$70,female,"casual, daytime outings, brunch",dress,Floral Puff Sleeve Midi Dress,"A casual midi dress featuring puff sleeves, a square neckline with tie details, and a delicate floral print on a white background, perfect for relaxed daytime events."
whitetshirt_offwhite.png,casual,#F5F5F0,solid,cotton,35,unisex,"casual, everyday",T-shirt,Classic White Crewneck Tee,"A soft, breathable cotton T-shirt in an off-white shade, featuring a comfortable crew neck and short sleeves. Perfect for everyday casual wear."
10367.jpg,casual,#5A5470,plaid,cotton,$30-$50,male,"casual, everyday wear",button-down shirt,Urban Plaid Shirt,"A casual men's button-down shirt featuring a classic plaid pattern in shades of purple and black, made with comfortable cotton fabric. Ideal for everyday wear or casual outings."
10189.jpg,business casual,#223b7d,striped,cotton blend,$40,male,"business, casual",collared shirt,Striped Navy Blue Business Shirt,"A stylish navy blue collared shirt with white vertical stripes, made from a comfortable cotton blend fabric. Perfect for office wear or smart casual events."
10371.jpg,casual,#000000,graphic print,cotton blend,$30-$50,male,casual,sweatshirt,Urban Graphic Pullover,"A black casual pullover sweatshirt with a half zip collar and a bold white graphic print on the chest, made from comfortable cotton blend fabric ideal for everyday wear."
blacktshirt_basic.png,casual,#000000,solid,cotton,$15,unisex,casual,T-shirt,Classic Black Tee,"A plain black crew neck T-shirt made from soft cotton, perfect for everyday casual wear."
whitetshirt_womens.jpg,casual,#FFFFFF,solid,cotton,$10 - $20,unisex,casual,T-shirt,Classic White Cotton Tee,"A plain white short-sleeve cotton T-shirt with a comfortable fit, perfect for everyday casual wear."
